slide_id,slide_title,asset_path,source_path,license_or_ownership,alt_text
S26,Degree versus node-level scalability,assets/repo_figures/degree_node_fbs_scalability.png,network-control-differential-games/examples/foundations/results/scalability_degree_node_sf/degree_node_fbs_comparison_100_1000000.png,Generated from owned tutorial repository outputs; see repository license and notices.,Degree-level and node-level FBS runtime comparison on scale-free graphs.
S27,Hybrid/impulse workflow,assets/repo_figures/foundation_hybrid_impulse.png,network-control-differential-games/examples/foundations/results/companion_builtin_sf/hybrid_impulse_trajectory.png,Generated from owned tutorial repository outputs; see repository license and notices.,Hybrid control trajectory with continuous flow and impulse event markers.
S32,DDQN architecture,assets/repo_figures/note1_neural_architectures.png,note1-cyber-control-games/figures/neural_architectures.png,Generated from owned tutorial repository outputs; see repository license and notices.,"DDQN, CTDE, and MAPPO architecture overview."
S39,Cooperative community defense,assets/repo_figures/note1_training_iteration_diagnostics.png,note1-cyber-control-games/figures/training_iteration_diagnostics.png,Generated from owned tutorial repository outputs; see repository license and notices.,"Training diagnostics for FBSM, DDQN, and compact CTDE runs."
S40,Attacker-defender response example,assets/repo_figures/note1_game_response_matrix.png,note1-cyber-control-games/figures/game_response_matrix.png,Generated from owned tutorial repository outputs; see repository license and notices.,Attacker-defender response matrix with cumulative compromised exposure.
S46,Inverse PINN sparse-observation example,assets/repo_figures/note2_inverse_pinn_sparse_data.png,note2-pinn-pidl-cyber-control/figures/inverse_pinn_sparse_data.png,Generated from owned tutorial repository outputs; see repository license and notices.,Inverse PINN sparse-observation setup.
S47,PIDL: known mechanism plus correction,assets/repo_figures/note2_pidl_missing_mechanism.png,note2-pinn-pidl-cyber-control/figures/pidl_missing_mechanism.png,Generated from owned tutorial repository outputs; see repository license and notices.,PIDL known mechanism plus learned correction example.
S51,Evaluation with ground truth,assets/repo_figures/note2_training_iteration_diagnostics.png,note2-pinn-pidl-cyber-control/figures/training_iteration_diagnostics.png,Generated from owned tutorial repository outputs; see repository license and notices.,PINN and PIDL training diagnostics with separated loss terms.
S52,Evaluation without ground truth,assets/repo_figures/note2_baseline_comparison.png,note2-pinn-pidl-cyber-control/figures/baseline_comparison.png,Generated from owned tutorial repository outputs; see repository license and notices.,Method-specific baseline comparison for learned PINN and PIDL methods.
A06,Repository URLs and references,assets/repo_figures/reference_repo_contact_sheet.png,network-control-differential-games/examples/reference/results/reference_repos/reference_repo_contact_sheet.png,Generated from owned tutorial repository outputs; see repository license and notices.,Reference repository smoke-run contact sheet.
